pH,nitrogen,phosphorus,potassium,calcium,magnesium,sulfur,iron,manganese,zinc,copper,boron,molybdenum,chlorine,organic_matter,cation_exchange_capacity,base_saturation,soil_texture,disease_name
6.31,23.04,37.56,89.33,8.32,20.38,40.66,82.96,44.86,57.8,16.96,62.93,29.86,31.51,65.25,32.67,68.72,0.11,0.0
8.91,63.68,69.01,85.95,60.74,54.31,3.95,0.77,46.55,70.18,72.57,48.22,87.91,75.21,46.3,5.33,76.3,0.11,3.0
8.79,92.7,5.88,37.91,11.76,70.28,44.93,1.04,54.34,40.13,58.4,14.14,72.17,76.33,24.4,14.41,55.2,0.14,0.0
6.08,75.92,20.27,80.33,41.85,13.11,89.43,44.47,32.96,72.34,24.96,43.44,41.53,32.13,21.98,34.66,73.02,0.14,3.0
7.05,92.54,33.17,54.79,12.29,12.96,30.04,22.9,98.68,59.4,33.99,13.08,84.0,83.67,55.87,13.15,71.86,0.13,0.0
6.94,15.22,39.5,65.1,98.19,86.09,56.93,95.39,25.42,29.81,42.69,26.32,6.12,10.1,79.18,25.6,45.67,0.12,3.0
5.77,96.55,67.96,25.1,7.68,71.78,39.81,81.38,55.19,80.04,6.37,33.7,32.6,94.06,71.07,44.67,63.92,0.14,0.0
8.33,30.54,46.06,27.95,25.81,72.33,66.93,39.25,64.35,80.12,22.02,96.94,48.79,37.45,52.58,7.79,82.99,0.11,1.0
5.5,81.99,64.5,60.43,26.52,13.96,71.43,27.94,6.36,14.35,12.18,20.65,10.64,2.91,30.42,44.49,62.18,0.13,3.0
7.56,92.32,47.29,4.99,43.13,24.36,64.1,8.32,42.45,12.7,53.65,23.65,2.5,63.02,21.3,27.74,87.01,0.13,0.0
8.11,39.23,56.88,20.4,64.56,56.34,94.14,18.89,9.43,73.77,36.22,20.12,78.88,10.07,87.36,32.79,77.28,0.14,0.0
8.12,4.94,6.46,52.2,12.81,29.03,4.32,54.97,33.61,79.18,6.52,84.5,55.29,19.81,16.26,49.31,73.22,0.11,0.0
6.0,95.97,98.65,92.66,96.64,89.22,53.86,3.5,56.73,17.59,26.53,0.93,63.3,77.93,58.39,44.42,40.76,0.12,3.0
6.21,87.42,96.19,31.59,62.56,62.77,97.17,9.88,15.98,31.03,13.47,97.12,97.46,32.4,66.56,10.07,89.7,0.12,0.0
5.72,20.92,11.58,45.57,66.39,3.98,54.54,23.64,16.93,93.87,89.45,53.36,76.98,50.23,54.51,32.04,87.83,0.12,0.0
8.25,30.93,25.62,63.1,68.9,86.13,21.37,59.72,47.97,83.09,28.22,36.6,59.08,45.38,59.42,38.41,44.25,0.14,3.0
7.15,69.21,24.16,4.89,0.98,48.37,82.84,26.52,67.15,27.12,63.74,5.05,32.84,21.81,29.71,10.1,51.55,0.13,0.0
8.68,82.9,72.39,48.72,84.46,12.33,62.77,79.79,83.06,92.84,27.29,8.0,50.41,73.2,27.55,43.98,50.18,0.14,0.0
4.96,28.44,52.4,85.76,68.07,36.98,3.51,58.22,40.38,77.59,44.02,38.94,67.83,89.04,28.21,22.72,48.72,0.14,3.0
5.48,27.01,9.15,14.3,40.44,61.75,17.43,80.54,15.18,55.17,45.99,86.37,68.77,14.65,32.08,37.78,88.44,0.14,0.0
8.62,75.03,15.95,23.96,96.6,14.92,64.43,29.69,57.22,73.97,71.23,44.51,53.17,90.76,36.74,18.96,78.63,0.13,0.0
6.35,72.15,55.24,18.06,49.73,78.5,23.87,33.37,51.42,72.59,52.78,90.16,33.35,3.27,10.15,44.06,50.33,0.12,0.0
5.55,83.17,23.86,18.52,1.94,51.22,68.11,10.21,39.56,54.75,33.41,45.87,68.86,34.15,88.48,22.06,64.69,0.11,0.0
8.54,79.18,9.64,73.64,79.31,22.57,14.58,46.99,69.48,27.73,30.11,42.39,22.11,64.84,44.48,25.09,88.34,0.12,1.0
7.71,6.02,90.86,3.02,35.69,30.61,24.14,71.6,31.67,62.26,62.74,73.58,58.69,91.45,68.68,38.06,73.27,0.13,0.0
4.41,22.49,94.12,48.16,69.63,92.84,34.14,19.4,31.53,98.36,16.1,1.86,69.12,3.24,1.57,16.79,77.53,0.11,0.0
4.17,39.24,26.65,92.05,71.18,5.17,13.41,19.53,60.86,34.57,58.45,31.67,11.06,79.14,62.86,38.93,57.26,0.14,3.0
5.51,8.76,19.82,4.6,77.19,28.75,70.59,89.18,44.88,62.72,63.41,94.04,55.99,32.12,42.14,48.75,52.34,0.14,0.0
8.41,5.02,23.39,60.79,61.25,52.79,13.79,12.06,51.54,83.68,33.68,1.09,12.22,58.17,80.83,44.36,76.96,0.14,3.0
4.25,6.71,99.94,73.07,35.71,93.05,84.6,81.17,67.56,25.49,62.99,32.79,63.96,90.2,14.84,37.63,60.46,0.12,3.0
6.58,55.6,91.3,40.23,0.9,94.3,94.15,82.08,96.17,3.95,44.82,28.23,54.62,21.53,73.14,40.37,71.1,0.12,0.0
8.04,70.12,62.48,32.19,70.8,83.79,96.99,22.78,6.99,22.72,98.06,76.09,11.83,57.46,13.85,22.33,48.49,0.12,0.0
6.65,58.8,94.73,83.44,18.79,98.33,73.15,27.54,23.45,94.04,24.2,53.06,16.03,18.26,25.15,36.17,42.56,0.12,0.0
6.51,39.82,4.68,82.07,84.35,35.19,88.66,39.46,67.72,27.4,49.93,81.33,41.05,94.92,44.21,16.17,73.4,0.12,3.0
7.63,14.69,84.07,88.92,12.32,14.4,84.59,97.46,44.64,33.92,78.25,41.57,55.69,96.67,89.99,46.65,79.13,0.11,0.0
4.28,3.81,4.38,29.46,59.01,85.92,30.25,36.78,30.42,94.69,1.44,6.83,91.54,46.13,67.7,42.91,57.45,0.11,0.0
6.12,0.92,15.39,78.86,53.22,61.65,39.98,47.4,76.81,30.64,59.24,55.88,49.36,35.88,82.39,15.98,40.34,0.14,3.0
7.46,37.17,39.97,7.28,19.07,17.65,1.67,45.16,23.57,84.77,25.68,81.82,94.44,50.48,38.01,6.8,86.66,0.14,0.0
7.21,18.13,97.41,36.57,36.33,26.89,68.38,44.4,16.5,55.62,60.37,15.01,59.88,26.59,93.57,16.37,45.17,0.13,0.0
7.32,58.76,89.58,50.34,14.75,24.34,45.68,72.08,62.45,99.74,48.15,33.18,62.8,30.3,1.74,22.18,65.88,0.11,0.0
6.13,85.46,34.01,94.51,65.57,75.18,91.52,75.04,98.78,41.81,60.45,43.48,37.59,53.34,91.43,38.33,60.87,0.13,3.0
4.49,97.38,7.03,14.63,8.17,21.14,39.71,31.52,62.82,38.35,76.67,64.17,40.98,44.68,83.74,9.28,59.11,0.14,0.0
5.72,43.27,35.32,4.52,22.83,1.7,95.27,63.45,34.72,84.24,68.11,58.7,56.09,66.56,26.95,35.29,56.1,0.14,0.0
7.94,11.58,54.18,64.53,97.32,46.8,39.81,70.53,10.57,42.34,96.45,10.38,58.57,57.02,34.89,9.55,44.75,0.14,3.0
5.81,54.85,23.23,44.9,72.1,68.44,27.33,55.97,16.24,27.1,27.56,84.06,88.74,65.08,85.5,5.07,84.55,0.12,0.0
7.11,55.87,9.79,59.3,88.88,94.41,78.31,40.04,33.35,58.04,38.85,81.82,93.04,11.14,49.97,47.29,49.28,0.11,3.0
8.71,87.04,67.49,93.93,5.98,22.52,44.57,22.45,87.48,99.41,50.65,17.8,69.45,31.26,4.28,42.63,65.33,0.14,0.0
4.38,72.92,16.71,24.83,85.82,47.91,51.01,10.78,45.5,74.85,68.83,83.35,68.91,31.76,27.69,49.79,78.55,0.12,0.0
8.79,7.05,56.03,89.43,59.16,21.83,66.52,2.22,45.16,2.07,42.46,75.52,93.28,37.77,61.25,36.93,81.36,0.12,3.0
5.6,98.46,89.26,84.17,95.42,40.06,1.31,57.3,77.74,89.9,76.97,18.41,63.12,71.54,97.52,30.45,43.58,0.14,3.0
5.03,28.97,7.07,6.8,69.55,24.6,49.73,16.25,72.9,85.34,18.15,91.66,76.35,69.33,44.22,42.64,40.33,0.14,0.0
4.46,29.1,22.06,45.69,1.83,62.75,90.7,6.91,62.28,95.38,37.71,66.66,10.85,87.49,10.43,6.01,73.1,0.13,0.0
7.31,81.3,80.44,5.75,20.5,89.86,67.83,29.39,50.13,17.08,81.19,29.12,89.02,52.07,38.66,31.75,82.33,0.13,1.0
6.86,56.65,34.84,24.43,46.88,1.49,5.53,36.38,36.86,22.12,55.95,35.94,80.34,41.8,23.35,37.89,63.54,0.14,0.0
6.75,95.53,40.5,20.59,19.5,15.9,8.7,64.95,98.72,27.14,89.51,68.31,32.38,15.51,76.36,33.42,47.37,0.12,0.0
7.11,64.34,54.22,55.36,92.65,89.18,13.89,15.39,57.69,24.54,14.75,3.45,88.11,25.26,44.47,46.73,69.82,0.14,3.0
6.16,39.18,82.27,87.14,56.65,99.25,18.19,81.91,72.72,66.64,4.96,7.05,20.28,3.76,43.55,28.29,77.86,0.11,3.0
7.02,81.8,33.42,66.13,84.27,48.51,22.56,2.88,69.98,77.92,84.97,65.75,6.83,19.19,58.37,41.82,74.25,0.11,3.0
8.28,61.0,87.77,29.8,74.19,96.58,86.47,33.37,7.93,78.46,88.16,0.85,75.16,65.74,46.45,36.2,64.9,0.13,0.0
5.73,93.25,89.2,60.14,37.27,43.81,74.89,67.83,88.7,45.14,76.37,11.66,35.48,71.32,14.82,17.74,50.97,0.13,3.0
5.74,72.39,73.0,63.68,20.58,27.94,54.52,82.25,44.52,99.13,37.49,11.89,86.31,49.53,50.74,20.84,79.66,0.14,3.0
5.8,43.31,99.78,86.6,4.82,87.13,23.61,98.25,37.69,19.27,92.0,84.31,64.43,16.07,28.9,15.24,86.28,0.12,0.0
4.58,15.09,0.38,45.95,42.43,97.83,47.96,59.5,91.23,52.04,56.11,30.6,91.76,90.59,51.8,32.95,55.85,0.14,0.0
4.58,91.46,35.56,52.29,47.65,71.16,77.17,45.27,29.89,52.35,20.3,36.89,31.31,43.56,54.09,21.11,69.75,0.14,3.0
8.27,79.26,16.32,71.7,41.31,30.67,58.05,49.29,90.35,69.64,82.66,33.42,92.41,49.44,84.06,31.07,78.99,0.14,3.0
8.15,73.5,93.79,70.24,21.52,1.06,64.66,68.43,89.48,22.51,72.58,57.9,27.63,64.0,30.92,21.53,76.45,0.13,3.0
5.94,98.91,58.71,89.49,70.66,59.27,84.82,61.66,98.19,95.07,79.87,91.07,2.28,63.54,54.28,11.87,50.47,0.13,3.0
4.69,14.36,85.96,44.17,61.41,33.0,86.09,85.2,13.96,56.04,42.22,30.1,91.5,45.4,30.44,47.27,45.12,0.14,0.0
4.13,29.94,96.59,26.26,12.59,84.53,44.48,79.88,83.58,19.15,84.26,21.68,73.98,8.62,72.54,9.46,72.42,0.12,0.0
5.9,36.09,2.64,99.55,91.15,17.54,49.47,9.62,62.19,66.03,13.0,86.91,38.89,26.77,82.37,35.86,76.89,0.11,3.0
8.55,18.63,92.19,30.34,84.27,74.28,84.14,11.86,89.12,81.55,18.51,29.58,69.37,11.33,99.66,19.11,84.91,0.13,1.0
8.19,56.06,46.77,63.69,10.04,6.13,16.54,62.27,27.2,64.75,29.33,72.21,96.95,99.48,99.95,12.91,66.35,0.13,0.0
5.54,13.6,12.9,13.36,92.39,11.88,21.09,84.14,33.28,51.92,81.3,52.68,16.26,1.4,54.31,14.01,76.29,0.11,0.0
4.44,78.03,39.27,53.95,6.98,18.35,56.72,15.9,0.67,96.5,48.77,23.16,74.95,0.6,86.89,41.48,73.87,0.12,0.0
5.92,95.78,71.52,23.02,96.06,24.33,76.98,45.62,39.11,88.42,28.88,71.23,90.49,26.7,92.62,6.58,73.31,0.12,0.0
6.26,97.24,60.68,94.67,93.84,80.07,96.43,37.38,41.93,30.89,4.46,83.37,88.64,11.88,66.75,5.21,50.38,0.12,3.0
6.56,27.46,93.14,0.49,69.32,79.11,42.28,44.5,44.8,11.77,16.28,21.75,86.92,87.83,33.56,44.59,80.55,0.12,0.0
4.67,41.02,68.27,77.3,9.2,73.36,89.5,87.91,85.72,47.52,57.41,35.27,72.96,58.47,55.06,38.86,72.98,0.13,0.0
7.18,32.69,8.0,23.18,56.21,17.65,55.85,30.89,44.61,37.11,10.03,37.42,69.77,95.11,17.43,29.03,62.95,0.11,0.0
6.57,75.92,29.92,76.94,63.09,60.3,92.1,55.86,37.48,21.59,61.68,56.82,80.56,42.63,36.78,5.33,73.36,0.13,3.0
5.38,10.19,37.03,61.33,62.83,59.98,62.38,44.59,56.18,16.2,7.08,33.12,90.94,69.14,52.41,44.21,52.08,0.11,3.0
4.8,88.46,38.7,51.61,65.64,78.66,89.11,77.53,4.69,35.71,22.61,58.46,36.7,99.72,0.63,9.74,74.35,0.11,3.0
5.97,36.68,86.11,90.58,37.63,29.27,45.4,30.12,4.65,57.38,97.04,10.96,22.85,1.45,45.06,24.96,85.75,0.11,3.0
4.33,68.13,44.58,53.02,2.22,41.14,12.22,31.49,31.75,21.59,87.96,33.6,26.64,20.64,99.34,6.47,48.17,0.14,0.0
5.77,86.63,43.66,92.4,69.58,91.81,91.03,64.94,14.31,81.28,74.3,68.46,40.59,46.2,83.77,19.58,49.99,0.11,3.0
8.14,30.82,43.77,18.68,96.58,6.36,85.26,9.82,19.76,44.03,18.31,88.0,27.38,77.73,83.17,14.23,63.07,0.11,0.0
5.72,61.81,42.64,71.36,34.72,81.67,95.98,52.03,59.07,12.41,63.37,13.56,22.06,68.47,10.32,29.04,69.2,0.14,3.0
5.59,13.36,32.9,20.12,5.01,31.21,36.33,5.12,92.29,39.85,75.21,79.5,77.1,42.77,26.34,37.11,69.24,0.14,0.0
8.55,20.85,58.41,29.57,12.34,53.5,11.22,70.37,36.81,65.08,14.53,95.12,21.02,11.55,75.23,32.91,73.58,0.13,0.0
4.67,10.91,19.41,27.89,18.57,64.42,35.97,75.47,11.9,5.71,45.42,8.75,81.65,71.18,63.75,40.42,75.42,0.13,0.0
6.69,89.19,59.86,21.31,48.35,22.34,87.94,90.43,64.43,25.81,42.51,45.09,55.22,14.48,77.69,38.16,51.83,0.14,0.0
6.74,2.01,26.77,23.05,65.4,31.65,31.19,46.53,63.27,40.81,52.05,5.98,81.63,49.95,53.69,15.41,76.43,0.11,0.0
6.31,51.07,23.18,44.72,63.85,84.48,73.12,27.35,71.56,14.69,95.62,67.07,98.44,70.52,20.58,42.93,83.49,0.12,1.0
8.57,87.76,7.84,79.9,55.46,69.43,9.53,79.47,81.47,39.72,8.93,10.64,78.84,57.36,47.67,45.43,73.97,0.12,3.0
7.42,46.5,25.87,89.12,70.89,63.02,31.91,85.21,57.15,23.96,36.58,60.16,20.69,81.39,58.24,34.28,76.01,0.13,3.0
4.59,95.82,15.66,10.25,52.17,60.91,42.15,83.72,5.09,18.05,67.02,95.15,88.8,53.54,69.34,45.95,72.01,0.13,0.0
7.66,99.18,85.39,65.3,35.71,6.28,87.88,66.87,30.31,67.25,22.44,48.41,34.44,26.69,55.97,5.38,82.49,0.11,3.0
8.37,99.75,50.26,13.1,53.13,30.52,45.28,1.53,21.08,55.4,80.97,57.98,76.01,26.16,46.42,39.31,66.39,0.14,0.0
4.11,41.11,72.23,97.27,72.68,99.99,97.45,83.82,22.76,44.08,24.16,47.98,7.91,18.98,55.24,38.81,45.77,0.14,3.0
8.76,25.77,74.44,7.75,77.04,69.95,38.73,17.14,56.72,36.6,12.25,37.71,20.69,59.09,0.86,32.12,61.33,0.14,0.0
4.25,5.98,10.46,83.48,98.96,43.13,23.95,29.89,28.77,88.28,43.04,73.19,45.18,84.2,90.5,37.86,70.67,0.14,3.0
4.8,89.36,78.91,9.94,31.84,90.58,84.67,70.63,13.31,91.21,57.08,31.71,85.18,52.47,76.22,5.99,69.9,0.11,0.0
8.5,66.03,13.44,22.66,32.35,11.49,98.92,11.68,7.6,56.81,67.23,19.29,4.7,23.67,51.95,37.0,51.44,0.14,0.0
5.26,21.88,11.08,96.08,46.06,3.8,1.37,20.52,72.31,13.45,20.87,39.38,61.29,85.73,95.93,26.43,60.65,0.13,3.0
7.04,94.41,4.65,79.1,50.22,44.41,6.6,3.52,11.52,28.24,33.42,36.89,28.96,93.6,91.86,5.11,73.15,0.14,3.0
7.58,50.77,68.47,27.83,67.24,73.89,84.89,97.6,1.26,64.55,51.02,16.87,27.29,47.88,24.61,23.48,41.28,0.13,0.0
4.13,53.83,69.89,99.93,5.08,14.49,40.22,79.41,9.93,92.8,25.95,87.99,24.09,19.9,82.28,33.76,55.11,0.11,0.0
7.89,51.52,69.49,89.58,9.67,66.89,5.79,26.98,92.77,94.72,58.1,38.54,77.42,97.46,63.87,12.23,51.19,0.12,0.0
8.61,64.8,91.37,65.06,32.08,73.26,65.47,52.48,56.27,65.5,53.3,96.48,36.45,82.72,4.61,8.92,87.93,0.11,1.0
8.88,73.0,29.1,94.83,81.55,84.82,90.43,30.98,3.76,52.5,13.64,71.0,52.03,5.58,74.6,24.83,54.89,0.11,3.0
8.06,26.81,43.04,47.5,88.97,29.21,72.65,85.86,4.06,27.19,58.49,46.51,74.76,23.52,40.73,40.97,47.94,0.14,0.0
5.44,59.89,56.0,92.43,13.84,37.42,25.87,64.94,47.04,98.76,70.54,92.33,34.84,38.22,13.91,45.35,73.61,0.14,0.0
4.84,48.96,90.0,36.26,93.92,8.95,40.22,17.4,3.38,59.86,78.71,79.88,49.3,44.05,87.8,44.37,54.22,0.14,0.0
7.2,20.07,63.19,28.0,77.04,62.97,44.24,75.79,74.83,55.45,18.83,9.17,37.78,56.84,39.8,38.06,48.16,0.14,0.0
8.96,79.75,66.67,35.92,45.85,57.25,69.61,32.83,47.38,9.15,92.41,44.62,77.46,43.69,60.37,14.0,57.46,0.14,0.0
5.2,1.58,9.54,42.65,26.7,35.44,89.18,52.0,77.56,6.29,76.27,52.73,55.49,8.11,39.11,41.74,71.96,0.13,0.0
7.72,7.35,98.16,16.5,91.72,39.26,54.01,89.12,59.67,41.53,77.27,98.43,40.25,2.96,8.52,43.23,86.74,0.12,1.0
6.57,94.56,56.72,13.35,59.46,24.81,24.4,3.87,57.48,37.84,64.5,46.18,93.67,93.69,60.93,28.28,66.27,0.14,0.0
7.49,51.58,61.49,0.43,66.32,61.21,44.13,59.09,32.01,70.58,43.53,90.8,27.77,38.22,27.32,18.32,67.37,0.11,0.0
4.46,95.9,89.23,10.21,53.93,72.97,49.66,60.5,86.27,15.63,12.36,54.24,7.99,96.48,82.31,17.34,48.42,0.14,0.0
4.36,51.61,54.24,20.74,42.87,74.93,83.67,37.22,45.29,55.53,65.06,91.67,97.66,12.73,17.5,25.67,88.48,0.12,0.0
5.16,77.38,47.58,29.92,5.45,11.49,36.49,2.53,65.04,3.2,1.89,83.01,95.5,9.04,79.03,11.48,77.2,0.13,0.0
7.71,18.98,51.36,66.69,14.11,81.47,72.57,41.46,16.76,11.91,41.2,31.43,64.38,94.33,78.55,28.24,77.54,0.13,0.0
4.0,54.4,7.55,64.39,5.89,95.27,76.38,3.45,47.53,76.31,59.88,72.5,9.54,30.33,93.95,35.76,43.19,0.11,0.0
7.36,87.16,51.83,34.32,23.16,42.14,36.51,9.86,46.31,59.71,31.08,35.94,38.49,98.63,66.92,48.53,61.65,0.12,0.0
6.62,21.38,26.83,41.33,48.14,97.48,47.99,52.86,85.33,92.91,51.37,70.56,33.64,30.52,50.55,19.16,70.75,0.14,0.0
6.95,52.49,66.74,9.37,25.9,88.49,1.72,31.71,39.91,16.78,50.8,97.68,90.2,92.43,58.68,31.74,46.92,0.12,0.0
8.43,53.18,90.89,7.5,37.65,47.48,50.48,68.95,41.77,96.67,9.13,30.44,73.37,51.01,78.23,31.33,66.82,0.12,0.0
6.62,53.43,25.13,52.25,34.36,16.9,46.16,71.52,92.92,57.84,51.02,22.64,3.0,68.04,53.44,5.56,71.68,0.12,3.0
5.98,62.12,90.2,76.07,8.52,56.62,58.67,60.98,85.66,26.22,54.59,73.95,35.92,16.69,22.07,25.63,63.02,0.14,0.0
4.85,35.61,90.04,64.46,91.64,79.85,64.01,53.83,75.91,71.3,84.03,58.51,32.27,66.28,62.06,29.83,77.79,0.14,3.0
8.95,5.49,68.65,95.95,76.61,16.44,71.11,94.63,53.46,99.5,52.5,7.33,21.03,83.71,9.28,50.0,42.52,0.13,3.0
6.92,96.1,17.9,68.49,58.86,34.89,12.1,31.13,95.9,81.95,11.35,38.6,18.57,97.6,60.83,46.64,47.44,0.11,3.0
5.36,60.48,35.91,99.61,65.25,59.17,76.0,24.12,9.4,83.43,17.25,25.11,94.34,61.81,14.94,35.56,86.99,0.13,3.0
7.15,43.86,64.34,51.38,48.18,96.74,15.31,34.53,4.4,46.44,13.23,81.7,78.13,3.62,38.59,13.94,57.23,0.11,3.0
7.17,32.43,77.83,49.45,74.67,70.16,43.68,33.65,4.6,46.65,52.61,37.31,28.08,64.58,58.47,5.34,85.13,0.14,0.0
4.67,49.29,1.52,81.61,59.46,12.22,2.1,64.53,59.28,33.49,14.92,52.83,78.9,36.21,68.41,8.66,87.04,0.13,1.0
7.05,2.97,51.19,49.61,10.31,88.96,37.01,34.59,8.59,43.5,90.21,27.02,1.85,8.09,59.56,13.78,84.6,0.13,0.0
7.0,18.89,38.14,0.69,22.24,58.32,77.2,4.35,55.46,88.75,72.37,1.32,20.79,32.17,79.56,20.08,57.67,0.14,0.0
4.83,47.18,67.89,90.22,49.53,14.24,48.43,88.64,58.56,64.44,39.75,14.02,11.13,42.66,2.97,25.19,52.64,0.13,3.0
8.25,80.05,78.58,46.78,96.8,50.63,28.89,75.8,75.42,69.83,81.89,5.87,66.07,51.34,94.14,33.84,55.7,0.12,0.0
6.27,91.86,84.77,32.47,45.38,63.31,41.7,21.45,84.85,41.45,91.89,26.26,99.52,48.0,16.84,47.73,75.78,0.12,0.0
5.13,25.79,24.72,15.55,13.03,7.84,53.07,30.61,57.4,39.09,48.16,77.62,1.55,86.73,69.18,10.06,71.03,0.13,0.0
5.09,63.8,22.0,33.65,77.67,73.09,73.42,73.56,91.02,93.87,97.58,42.86,45.5,0.34,80.2,27.32,89.19,0.12,1.0
7.73,16.78,2.11,36.97,48.12,79.76,48.33,63.34,41.27,43.15,51.78,81.45,55.28,89.31,47.24,13.27,47.17,0.13,0.0
6.12,44.01,53.22,42.01,16.73,96.03,71.27,61.52,86.97,19.21,53.31,90.36,50.18,3.71,3.28,29.96,42.22,0.12,0.0
7.29,67.02,34.73,72.27,95.05,80.47,51.9,32.37,85.66,15.18,31.24,32.78,22.04,1.08,13.56,22.12,83.54,0.12,1.0
4.47,40.39,13.04,63.81,13.79,0.81,98.17,97.78,68.46,95.8,83.03,91.91,58.92,94.9,45.59,24.85,74.71,0.12,0.0
6.43,17.52,9.78,49.22,93.64,79.15,39.74,56.19,5.18,89.46,9.81,16.07,60.99,13.38,12.93,30.61,46.95,0.12,0.0
8.44,50.82,17.11,22.04,62.66,58.53,11.92,5.82,74.02,18.64,95.51,44.86,50.16,66.43,66.6,42.31,42.79,0.14,0.0
4.87,0.89,26.26,18.15,72.91,28.31,46.4,51.3,83.71,49.57,15.62,33.02,71.56,4.08,24.38,35.39,45.28,0.11,0.0
7.35,22.55,24.74,37.84,14.4,75.69,13.2,59.85,1.86,10.27,29.23,70.08,88.67,23.77,55.76,43.6,64.56,0.13,0.0
5.32,52.16,85.6,13.52,86.69,64.07,57.87,71.04,3.97,93.32,6.48,30.43,99.36,33.25,21.08,23.03,80.83,0.11,0.0
6.98,92.54,28.72,51.99,98.53,79.13,50.25,7.1,9.9,41.88,24.52,84.14,12.7,40.36,53.08,20.5,55.27,0.13,3.0
7.6,75.74,5.26,85.24,91.91,52.89,56.63,67.93,55.17,90.02,6.73,74.91,45.04,48.76,48.95,25.72,70.46,0.13,3.0
8.67,64.2,7.77,23.14,82.78,61.73,49.17,25.1,74.85,68.86,43.23,45.76,16.87,55.84,20.23,12.53,43.28,0.13,0.0
4.43,4.99,77.9,88.34,76.49,80.09,45.04,36.33,34.56,98.07,39.34,23.39,5.12,53.85,90.11,21.23,48.55,0.13,3.0
4.8,72.7,47.45,61.41,14.38,58.23,75.44,89.43,72.1,76.07,78.22,80.81,88.99,42.37,67.93,9.95,60.76,0.13,0.0
7.77,59.94,19.08,76.64,32.71,46.07,82.42,53.77,71.98,0.14,77.78,41.47,67.92,60.76,55.14,34.54,82.12,0.14,1.0
8.02,33.97,1.32,17.12,88.72,86.63,7.61,39.27,3.08,96.87,29.57,85.84,25.14,96.67,17.31,13.3,83.59,0.13,0.0
7.33,35.53,6.95,85.87,62.89,13.14,63.95,56.87,26.68,53.76,63.27,8.2,28.11,79.88,47.9,10.32,62.03,0.11,3.0
4.46,50.95,30.87,18.79,60.71,98.25,53.53,97.3,31.33,93.43,65.67,75.08,42.73,32.66,2.2,19.38,52.07,0.11,0.0
8.86,98.04,86.66,98.96,64.88,41.4,6.03,14.49,25.39,22.41,90.05,0.3,15.36,65.2,52.5,25.52,42.36,0.12,3.0
6.32,79.65,30.32,36.18,95.63,99.28,88.92,37.67,68.37,12.31,38.45,47.1,67.9,71.9,13.27,6.89,50.45,0.12,0.0
4.92,23.42,48.91,2.03,74.24,14.65,74.31,7.19,46.92,15.74,46.34,78.96,18.11,27.45,58.23,10.14,80.61,0.12,0.0
